neighbourhood_group,total_listings,average_price,ranking,rank
Manhattan,21661,196.8758136743456,10928.937906837173,1.0
Brooklyn,20104,124.38320732192598,10114.191603660964,2.0
Queens,5666,99.51764913519237,2882.758824567596,3.0
Bronx,1091,87.4967919340055,589.2483959670028,4.0
Staten Island,373,114.81233243967829,243.90616621983915,5.0
