Month,Average Price
January,150.47890371438874
February,155.7168831168831
March,136.83695652173913
April,139.5049786628734
May,137.90959370346735
June,140.76966664213703
July,142.2903823479872
August,132.13317336532694
September,149.49446254071663
October,142.0653298835705
November,138.5328151986183
December,160.79661016949152
